"","CCC","lower.ci","upper.ci"
"wavelet.LH_gldm_DependenceNonUniformityNormalized",0.77007964675105,0.573402938132812,0.882833556859557
"wavelet.LH_gldm_DependenceVariance",0.596816355268059,0.376325068907531,0.7533270466756
"wavelet.LH_gldm_GrayLevelNonUniformity",0.791725903822552,0.662593857710642,0.875147836516101
"wavelet.LH_gldm_GrayLevelVariance",0.742257311837901,0.552408819936671,0.858899483332466
"wavelet.LH_gldm_HighGrayLevelEmphasis",0.743286192551064,0.559304972449782,0.85747929251764
"wavelet.LH_gldm_LargeDependenceEmphasis",0.570306256160083,0.3592814389006,0.725846613301648
"wavelet.LH_gldm_LargeDependenceHighGrayLevelEmphasis",0.791272698439006,0.601802423575647,0.896419082302576
"wavelet.LH_gldm_LargeDependenceLowGrayLevelEmphasis",0.322631241355351,0.178017328165939,0.453603647265241
"wavelet.LH_gldm_LowGrayLevelEmphasis",0.466465424304647,0.277825572538711,0.620465867125331
"wavelet.LH_gldm_SmallDependenceEmphasis",0.705353131778592,0.495804563340513,0.837285036297123
"wavelet.LH_gldm_SmallDependenceHighGrayLevelEmphasis",0.719058812631414,0.530533461575889,0.839801477544798
